"I.P01" "I.P07" "I.P11" "I.S07" "I.S29" "I.S34" "I.W31" "I.W32" "I.W33" "S.P03" "S.P09" "S.P12" "S.S05" "S.S08" "S.S32" "S.W20" "S.W36" "S.W37"
"Bacteria.Candidatus Nomurabacteria.NA.NA.NA.NA.Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_36_10b" 4 17 3 5 2 20 1 0 0 4 2 2 13 7 35 0 0 0
"Bacteria.Candidatus Nomurabacteria.NA.NA.NA.NA.Candidatus Nomurabacteria bacterium CG10_big_fil_rev_8_21_14_0_10_35_16" 4 1 0 0 14 4 0 0 0 1 2 3 6 0 0 0 0 0
"Bacteria.Candidatus Nomurabacteria.NA.NA.NA.NA.Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_02_FULL_33_12" 3 4 5 1 9 1 1 21 1 0 4 15 2 7 6 0 2 9
"Bacteria.Candidatus Nomurabacteria.NA.NA.NA.NA.Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_39_10" 2 3 2 4 2 0 0 0 1 14 2 0 5 0 0 1 0 0
"Bacteria.Candidatus Nomurabacteria.NA.NA.NA.NA.Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_39_9" 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1
"Bacteria.Candidatus Nomurabacteria.NA.NA.NA.NA.Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_40_12" 1 0 0 1 7 0 0 0 0 0 0 0 0 0 0 0 2 5
"Bacteria.Candidatus Nomurabacteria.NA.NA.NA.NA.Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_42_17" 1 0 0 1 8 0 0 1 0 1 0 1 3 0 0 0 0 2
"Bacteria.Candidatus Zambryskibacteria.NA.NA.NA.NA.NA" 32 277 17 30 25 3 4 21 7 6 3 120 17 2 20 1 8 5
"Bacteria.Candidatus Zambryskibacteria.NA.NA.NA.NA.Candidatus Zambryskibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_42_12" 14 4 1 10 8 2 4 10 6 3 7 0 5 7 2 1 17 1
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.NA" 28 14 42 17 15 45 5 11 3 34 14 12 30 4 7 2 4 2
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Berkelbacteria bacterium GW2011_GWA2_35_9" 3 1 0 1 0 0 0 2 1 2 0 0 3 0 1 0 1 1
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Berkelbacteria bacterium GW2011_GWE1_39_12" 3 1 0 1 4 4 6 1 1 1 0 3 4 1 4 1 1 1
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10" 3 1 13 1 5 8 0 37 5 8 4 0 3 0 3 0 5 9
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Berkelbacteria bacterium GW2011_GWA1_36_9" 2 1 1 1 0 1 0 0 1 0 3 0 0 1 1 0 1 1
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Candidatus Berkelbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_13" 2 6 3 8 3 3 0 0 4 0 2 2 14 0 2 0 2 0
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Berkelbacteria bacterium GW2011_GWA2_38_9" 1 0 0 1 9 0 1 0 0 0 0 4 3 0 0 0 4 1
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Candidatus Berkelbacteria bacterium CG08_land_8_20_14_0_20_39_8" 1 1 3 1 1 10 2 0 4 0 0 0 7 0 1 0 1 0
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Candidatus Berkelbacteria bacterium Licking1014_7" 1 0 0 6 7 0 0 0 0 0 2 0 8 1 0 29 6 1
"Bacteria.Candidatus Berkelbacteria.NA.NA.NA.NA.Candidatus Berkelbacteria bacterium Licking1014_85" 1 0 0 1 7 1 0 1 7 2 1 0 3 0 0 0 2 3
"Bacteria.Candidatus Yanofskybacteria.NA.NA.NA.NA.NA" 35 18 19 40 33 10 7 115 36 30 30 8 71 15 25 8 16 33
"Bacteria.Candidatus Yanofskybacteria.NA.NA.NA.NA.Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_01_FULL_39_8b" 2 0 0 7 0 1 2 0 0 1 5 16 7 0 14 0 2 1
"Bacteria.Candidatus Yanofskybacteria.NA.NA.NA.NA.Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_46_19" 2 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0
"Bacteria.Candidatus Yanofskybacteria.NA.NA.NA.NA.Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_41_34" 2 0 0 0 0 0 0 0 0 0 1 1 1 3 0 0 0 0
"Bacteria.Candidatus Yanofskybacteria.NA.NA.NA.NA.Candidatus Yanofskybacteria bacterium GW2011_GWA1_39_13" 1 0 1 0 0 0 0 0 0 0 1 0 4 1 0 0 0 0
"Bacteria.Candidatus Yanofskybacteria.NA.NA.NA.NA.Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_39_10" 1 0 0 0 25 0 0 0 0 0 0 0 0 2 1 0 0 0
"Bacteria.Candidatus Yanofskybacteria.NA.NA.NA.NA.Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_43_22" 1 0 0 0 5 0 0 0 0 0 0 0 3 0 0 0 0 0
"Bacteria.Candidatus Yanofskybacteria.NA.NA.NA.NA.Candidatus Yanofskybacteria bacterium CG10_big_fil_rev_8_21_14_0_10_37_15" 1 1 1 3 1 0 0 3 0 1 1 0 1 0 0 0 1 3
"Bacteria.Candidatus Harrisonbacteria.NA.NA.NA.NA.NA" 23 258 4 38 3 2 1 0 2 0 0 106 5 1 13 0 0 1
"Bacteria.Candidatus Harrisonbacteria.NA.NA.NA.NA.Candidatus Harrisonbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_40_38" 18 2 0 2 1 3 0 0 0 2 4 1 16 7 4 0 0 0
"Bacteria.Candidatus Harrisonbacteria.NA.NA.NA.NA.Candidatus Harrisonbacteria bacterium RIFCSPLOWO2_02_FULL_45_10c" 2 0 0 2 2 0 0 0 1 0 12 2 1 6 1 0 0 0
"Bacteria.Candidatus Harrisonbacteria.NA.NA.NA.NA.Candidatus Harrisonbacteria bacterium RIFCSPLOWO2_01_FULL_44_18" 1 5 0 1 0 0 0 0 0 1 1 4 0 0 2 0 0 0
"Bacteria.Candidatus Harrisonbacteria.NA.NA.NA.NA.Candidatus Harrisonbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_38_8" 1 2 0 0 1 3 0 33 0 26 1 0 7 0 0 2 0 2
"Bacteria.Candidatus Wolfebacteria.NA.NA.NA.NA.NA" 12 14 23 44 21 5 2 9 3 14 7 80 129 3 1 1 11 1
"Bacteria.Candidatus Wolfebacteria.NA.NA.NA.NA.Candidatus Wolfebacteria bacterium CG_4_10_14_0_8_um_filter_37_11" 12 1 0 0 0 5 0 0 0 0 2 0 0 0 0 0 0 0
"Bacteria.Candidatus Wolfebacteria.NA.NA.NA.NA.Candidatus Wolfebacteria bacterium RIFOXYB2_FULL_49_7" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Candidatus Wolfebacteria.NA.NA.NA.NA.Candidatus Wolfebacteria bacterium CG03_land_8_20_14_0_80_40_12" 5 0 3 1 0 3 0 0 0 0 1 4 2 2 4 0 0 0
"Bacteria.Candidatus Wolfebacteria.NA.NA.NA.NA.Candidatus Wolfebacteria bacterium" 5 0 1 84 6 6 0 2 1 1 5 8 11 4 0 0 0 1
"Bacteria.Candidatus Wolfebacteria.NA.NA.NA.NA.Candidatus Wolfebacteria bacterium CG_4_10_14_0_2_um_filter_39_18" 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0
"Bacteria.Candidatus Wolfebacteria.NA.NA.NA.NA.Candidatus Wolfebacteria bacterium CG03_land_8_20_14_0_80_36_15" 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0
"Bacteria.Candidatus Pacebacteria.NA.NA.NA.NA.NA" 30 12 14 15 34 15 16 87 13 18 49 49 25 16 20 1 45 16
"Bacteria.Candidatus Pacebacteria.NA.NA.NA.NA.Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_56_10" 4 62 1 3 4 0 0 0 0 2 3 5 3 0 1 0 0 0
"Bacteria.Candidatus Pacebacteria.NA.NA.NA.NA.Candidatus Pacebacteria bacterium CG_4_10_14_0_8_um_filter_42_14" 2 19 1 1 0 15 5 1 0 1 1 1 4 0 15 0 0 1
"Bacteria.Candidatus Pacebacteria.NA.NA.NA.NA.Candidatus Pacebacteria bacterium GW2011_GWF1_36_5" 1 0 0 1 0 2 0 0 2 0 0 0 1 2 0 0 0 0
"Bacteria.Candidatus Pacebacteria.NA.NA.NA.NA.Candidatus Pacebacteria bacterium CG_4_10_14_0_8_um_filter_43_12" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Candidatus Pacebacteria.NA.NA.NA.NA.Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_42_12" 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 10 0
"Bacteria.Candidatus Pacebacteria.NA.NA.NA.NA.Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_44_54" 1 0 0 2 3 1 0 2 1 0 3 7 0 2 4 0 1 1
"Bacteria.Candidatus Pacebacteria.NA.NA.NA.NA.Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_45_6" 1 6 0 5 0 0 0 0 0 0 1 0 1 1 0 0 1 0
"Bacteria.candidate division WOR-3.NA.NA.NA.NA.candidate division WOR-3 bacterium 4484_100" 14 38 10 24 47 8 16 51 15 56 23 27 34 7 20 103 35 32
"Bacteria.candidate division WOR-3.NA.NA.NA.NA.candidate division WOR-3 bacterium JGI_Cruoil_03_51_56" 9 32 3 11 7 4 6 51 2 10 5 28 28 4 8 3 4 6
"Bacteria.candidate division WOR-3.NA.NA.NA.NA.candidate division WOR-3 bacterium JGI_Cruoil_03_44_89" 8 9 3 22 13 5 6 8 5 3 3 6 11 8 1 0 4 4
"Bacteria.candidate division WOR-3.NA.NA.NA.NA.candidate division WOR-3 bacterium RBG_13_43_14" 3 1 0 6 5 5 2 1 4 1 2 5 6 4 0 1 6 0
"Bacteria.candidate division WOR-3.NA.NA.NA.NA.candidate division WOR-3 bacterium" 3 13 3 32 2 9 3 3 8 10 5 12 15 21 10 0 37 7
"Bacteria.candidate division WOR-3.NA.NA.NA.NA.candidate division WOR_3 bacterium SM23_42" 2 3 7 15 4 8 25 0 11 25 4 6 13 5 1 0 6 3
"Bacteria.Candidatus Delongbacteria.NA.NA.NA.NA.Candidatus Delongbacteria bacterium GWF2_40_14" 34 54 12 30 17 53 10 71 11 20 5 18 25 7 34 5 60 19
"Bacteria.Candidatus Delongbacteria.NA.NA.NA.NA.Candidatus Delongbacteria bacterium" 5 5 8 23 9 2 4 11 17 14 5 2 7 4 4 4 12 6
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.NA" 12 8 9 11 14 104 19 9 12 4 19 6 25 14 3 4 14 6
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RIFCSPLOWO2_01_FULL_46_9" 8 1 8 1 2 3 2 0 0 7 1 1 9 1 6 0 1 2
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium GW2011_GWA2_42_16" 3 0 0 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RBG_16_37_8" 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_02_FULL_39_11" 2 16 7 5 9 6 4 1 0 1 12 6 36 0 1 0 0 0
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RIFCSPLOWO2_01_FULL_39_12b" 2 7 0 1 0 0 2 6 1 0 1 4 1 0 2 0 14 6
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium GW2011_GWA1_43_11" 1 0 1 0 3 1 6 13 6 0 1 0 0 0 0 0 1 7
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium GW2011_GWC2_42_8" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RBG_16_52_11" 1 6 2 2 5 1 0 76 1 11 5 1 0 0 1 4 1 6
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_01_FULL_39_10" 1 2 0 1 5 6 0 1 3 0 6 1 0 1 3 0 0 3
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_01_FULL_42_12" 1 0 0 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_02_FULL_40_13" 1 0 5 1 6 3 2 0 0 0 0 0 1 0 0 0 1 0
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RIFCSPLOWO2_01_FULL_43_11b" 1 0 0 0 1 0 3 0 0 0 0 7 0 0 0 0 0 0
"Bacteria.Candidatus Gottesmanbacteria.NA.NA.NA.NA.Candidatus Gottesmanbacteria bacterium RIFOXYB1_FULL_47_11" 1 15 0 0 24 0 0 0 20 0 0 0 4 43 0 0 1 13
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.NA" 20 43 28 41 17 14 29 35 11 39 15 26 26 24 4 0 8 12
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium GW2011_GWB1_38_8" 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium GW2011_GWA1_41_13b" 2 0 0 0 0 3 0 0 0 0 7 4 8 2 0 0 0 0
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium GWB1_37_5" 2 0 0 0 0 0 0 1 1 0 2 0 1 0 0 0 0 1
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium GW2011_GWA1_39_21" 1 0 0 3 0 0 0 0 1 3 0 0 10 1 0 0 0 0
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium GW2011_GWA2_44_33" 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium RBG_16_34_12" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_39_23" 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium RIFOXYA1_FULL_40_18" 1 0 0 6 7 1 0 0 1 0 5 1 0 3 0 0 0 0
"Bacteria.Candidatus Woesebacteria.NA.NA.NA.NA.Candidatus Woesebacteria bacterium RIFOXYA1_FULL_43_9" 1 2 0 2 7 5 0 5 6 5 3 12 0 0 0 0 1 0
"Bacteria.candidate division CPR3.NA.NA.NA.NA.NA" 1 2 0 12 1 2 2 2 1 0 1 2 6 7 0 0 11 0
"Bacteria.candidate division CPR3.NA.NA.NA.NA.candidate division CPR3 bacterium 4484_211" 32 4 9 25 6 5 4 5 7 7 8 2 2 2 5 0 7 0
"Bacteria.Candidatus Eremiobacteraeota.NA.NA.NA.NA.NA" 3 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0
"Bacteria.Candidatus Eremiobacteraeota.NA.Candidatus Eremiobacterales.NA.Candidatus Eremiobacter.Candidatus Eremiobacter sp. RRmetagenome_bin22" 21 19 4 9 24 12 26 209 4 42 22 21 16 4 8 9 6 27
"Bacteria.Candidatus Eremiobacteraeota.NA.NA.NA.NA.Candidatus Eremiobacteraeota bacterium" 7 14 7 6 3 7 14 8 16 8 4 10 21 4 5 0 32 8
"Archaea.Candidatus Micrarchaeota.NA.NA.NA.NA.NA" 11 5 2 6 4 9 6 12 5 16 5 13 9 3 6 0 4 2
"Archaea.Candidatus Micrarchaeota.NA.NA.NA.NA.Candidatus Micrarchaeota archaeon" 10 1 1 6 12 3 1 0 1 0 0 5 4 0 3 0 0 0
"Archaea.Candidatus Micrarchaeota.NA.NA.NA.NA.Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_29" 3 1 0 1 0 1 0 0 3 1 2 1 1 0 1 0 0 0
"Archaea.Candidatus Micrarchaeota.NA.NA.NA.NA.Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_59_7" 3 0 0 0 3 1 0 0 0 0 1 1 0 0 0 0 0 0
"Archaea.Candidatus Micrarchaeota.NA.NA.NA.NA.Candidatus Micrarchaeota archaeon RBG_16_49_10" 2 0 2 7 1 0 0 0 0 0 2 3 0 0 0 0 0 1
"Archaea.Candidatus Micrarchaeota.NA.NA.NA.NA.Candidatus Micrarchaeota archaeon CG06_land_8_20_14_3_00_50_6" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Archaea.Candidatus Micrarchaeota.NA.NA.NA.NA.Candidatus Micrarchaeota archaeon CG08_land_8_20_14_0_20_49_17" 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0
"Bacteria.Candidatus Wallbacteria.NA.NA.NA.NA.Candidatus Wallbacteria bacterium HGW-Wallbacteria-1" 18 50 31 39 25 16 12 325 30 76 28 46 29 4 23 15 45 51
"Bacteria.Candidatus Wallbacteria.NA.NA.NA.NA.Candidatus Wallbacteria bacterium GWC2_49_35" 13 17 34 55 33 10 34 23 11 11 24 28 51 8 26 3 12 8
"Eukaryota.Foraminifera.NA.NA.NA.NA.NA" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eukaryota.Foraminifera.NA.NA.Reticulomyxidae.Reticulomyxa.Reticulomyxa filosa" 28 35 23 12 39 11 17 4 11 5 9 25 14 49 17 2 9 6
"Eukaryota.Foraminifera.NA.Rotaliida.Rotaliidae.Ammonia.Ammonia sp. isolate 2306" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eukaryota.Cryptomycota.NA.NA.NA.Rozella.Rozella allomycis" 25 59 31 17 42 15 29 10 20 6 17 37 4 57 21 24 10 0
"Eukaryota.Cryptomycota.NA.NA.NA.Paramicrosporidium.Paramicrosporidium saccamoebae" 5 11 5 6 13 1 7 6 0 4 7 6 4 32 3 5 0 2
"Bacteria.Candidatus Beckwithbacteria.NA.NA.NA.NA.NA" 23 4 0 6 14 7 0 0 3 10 1 3 12 1 2 0 2 1
"Bacteria.Candidatus Beckwithbacteria.NA.NA.NA.NA.Candidatus Beckwithbacteria bacterium CG2_30_44_31" 3 1 1 3 1 0 1 0 2 1 0 0 1 1 0 0 4 7
"Bacteria.Candidatus Beckwithbacteria.NA.NA.NA.NA.Candidatus Beckwithbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_34_8" 1 9 7 3 1 7 0 1 0 0 1 3 0 0 0 0 2 1
"Bacteria.Candidatus Ryanbacteria.NA.NA.NA.NA.NA" 20 24 7 14 31 9 6 23 5 0 3 13 12 1 16 1 11 3
"Bacteria.Candidatus Ryanbacteria.NA.NA.NA.NA.Candidatus Ryanbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_42" 3 7 0 0 0 0 13 4 6 1 2 5 4 1 0 4 17 0
"Bacteria.Candidatus Ryanbacteria.NA.NA.NA.NA.Candidatus Ryanbacteria bacterium RIFCSPHIGHO2_02_FULL_45_17b" 2 0 0 1 3 0 0 0 2 0 1 5 0 0 0 0 0 0
"Bacteria.Candidatus Ryanbacteria.NA.NA.NA.NA.Candidatus Ryanbacteria bacterium RIFCSPLOWO2_01_FULL_48_26" 2 0 1 0 6 3 2 0 0 0 1 2 3 0 0 0 3 0
"Bacteria.Candidatus Sungbacteria.NA.NA.NA.NA.NA" 13 12 0 1 0 12 9 0 3 11 1 20 2 0 2 0 1 4
"Bacteria.Candidatus Sungbacteria.NA.NA.NA.NA.Candidatus Sungbacteria bacterium RIFCSPHIGHO2_01_FULL_50_25" 6 8 8 2 1 0 4 0 0 29 0 5 2 2 2 3 0 0
"Bacteria.Candidatus Sungbacteria.NA.NA.NA.NA.Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_60_25" 5 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Bacteria.Candidatus Sungbacteria.NA.NA.NA.NA.Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_47_11" 1 0 0 1 0 1 0 2 0 0 0 1 3 0 0 0 0 0
"Bacteria.Candidatus Sungbacteria.NA.NA.NA.NA.Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_49_20" 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
"Bacteria.Candidatus Sungbacteria.NA.NA.NA.NA.Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_52_23" 1 0 0 0 0 1 0 1 3 0 0 0 2 1 0 0 0 7
"Archaea.Candidatus Altiarchaeota.NA.Candidatus Altiarchaeales.NA.NA.NA" 1 0 1 11 5 3 5 0 18 0 6 2 4 0 1 0 2 14
"Archaea.Candidatus Altiarchaeota.NA.Candidatus Altiarchaeales.NA.NA.Candidatus Altiarchaeales archaeon WOR_SM1_86-2" 8 0 0 3 1 0 0 0 0 0 0 2 12 0 2 0 0 1
"Archaea.Candidatus Altiarchaeota.NA.Candidatus Altiarchaeales.NA.NA.Candidatus Altiarchaeales archaeon A3" 6 9 1 5 12 3 5 0 23 4 0 6 5 5 0 0 53 24
"Archaea.Candidatus Altiarchaeota.NA.Candidatus Altiarchaeales.NA.NA.Candidatus Altiarchaeales archaeon IMC4" 5 0 1 2 2 2 1 94 0 19 5 6 2 0 0 4 2 10
"Archaea.Candidatus Altiarchaeota.NA.Candidatus Altiarchaeales.NA.NA.Candidatus Altiarchaeales archaeon WOR_SM1_SCG" 4 3 0 1 0 2 2 1 0 0 0 8 5 8 1 0 1 0
"Archaea.Candidatus Altiarchaeota.NA.Candidatus Altiarchaeales.NA.NA.Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-1" 1 3 0 0 2 0 0 0 5 0 34 1 207 16 0 0 0 4
"Archaea.Candidatus Altiarchaeota.NA.Candidatus Altiarchaeales.NA.NA.Candidatus Altiarchaeales archaeon" 1 4 2 7 3 1 1 2 1 0 1 0 3 0 1 0 3 0
"Bacteria.Candidatus Portnoybacteria.NA.NA.NA.NA.NA" 6 7 0 17 1 3 11 11 6 11 4 7 3 6 7 0 13 3
"Bacteria.Candidatus Portnoybacteria.NA.NA.NA.NA.Candidatus Portnoybacteria bacterium CG02_land_8_20_14_3_00_45_8" 6 2 1 5 0 0 0 1 0 0 0 1 1 1 0 0 0 0
"Bacteria.Candidatus Portnoybacteria.NA.NA.NA.NA.Candidatus Portnoybacteria bacterium CG_4_10_14_0_2_um_filter_44_20" 4 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Bacteria.Candidatus Portnoybacteria.NA.NA.NA.NA.Candidatus Portnoybacteria bacterium CG10_big_fil_rev_8_21_14_0_10_36_7" 4 7 0 0 1 0 1 2 0 0 3 2 6 3 3 1 11 0
"Bacteria.Candidatus Portnoybacteria.NA.NA.NA.NA.Candidatus Portnoybacteria bacterium RBG_13_40_8" 2 0 1 1 0 0 0 0 1 0 0 1 2 1 0 0 0 0
"Bacteria.Candidatus Portnoybacteria.NA.NA.NA.NA.Candidatus Portnoybacteria bacterium CG_4_10_14_0_2_um_filter_43_36" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Candidatus Portnoybacteria.NA.NA.NA.NA.Candidatus Portnoybacteria bacterium CG03_land_8_20_14_0_80_41_10" 1 0 0 1 1 0 0 0 1 0 2 0 0 1 0 0 1 0
"Bacteria.Candidatus Spechtbacteria.NA.NA.NA.NA.NA" 23 25 6 2 0 10 1 2 2 1 7 18 1 5 0 0 6 0
"Bacteria.Candidatus Spechtbacteria.NA.NA.NA.NA.Candidatus Spechtbacteria bacterium RIFCSPLOWO2_01_FULL_43_12" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eukaryota.Endomyxa.NA.Plasmodiophorida.Plasmodiophoridae.Plasmodiophora.Plasmodiophora brassicae" 24 59 28 8 72 26 17 4 5 7 10 44 10 50 12 9 5 2
"Bacteria.Candidatus Campbellbacteria.NA.NA.NA.NA.NA" 4 1 0 0 0 3 1 0 0 0 1 3 9 0 0 0 1 0
"Bacteria.Candidatus Campbellbacteria.NA.NA.NA.NA.Candidatus Campbellbacteria bacterium" 8 25 1 0 0 35 0 0 0 0 1 0 1 1 38 0 0 0
"Bacteria.Candidatus Campbellbacteria.NA.NA.NA.NA.Candidatus Campbellbacteria bacterium RIFCSPLOWO2_02_FULL_35_11" 5 4 1 2 0 2 0 0 0 1 13 0 0 0 6 0 0 12
"Bacteria.Candidatus Campbellbacteria.NA.NA.NA.NA.Candidatus Campbellbacteria bacterium RIFOXYC2_FULL_35_25" 5 1 1 1 13 0 0 58 1 12 4 3 11 0 0 0 0 9
"Bacteria.Candidatus Campbellbacteria.NA.NA.NA.NA.Candidatus Campbellbacteria bacterium RIFCSPLOWO2_02_35_12" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.candidate division CPR2.NA.NA.NA.NA.NA" 18 14 18 28 22 16 28 49 14 19 19 27 43 23 27 29 7 22
"Bacteria.candidate division CPR2.NA.NA.NA.NA.candidate division CPR2 bacterium GW2011_GWC1_39_9" 4 0 0 78 1 0 0 0 0 0 8 1 22 1 0 0 263 57
"Bacteria.Candidatus Edwardsbacteria.NA.NA.NA.NA.NA" 18 30 2 14 33 17 43 32 12 13 23 12 24 9 6 3 32 16
"Bacteria.Candidatus Edwardsbacteria.NA.NA.NA.NA.Candidatus Edwardsbacteria bacterium GWE2_54_12" 4 1 3 0 7 9 0 1 1 7 0 0 5 1 2 0 1 1
"Bacteria.candidate division KD3-62.NA.NA.NA.NA.candidate division KD3-62 bacterium DG_56" 21 8 11 45 18 4 6 26 44 9 18 12 25 4 12 12 20 29
"Bacteria.Candidatus Raymondbacteria.NA.NA.NA.NA.NA" 21 78 9 52 25 38 10 64 18 24 24 44 109 17 10 5 38 30
"Bacteria.candidate division LCP-89.NA.NA.NA.NA.candidate division LCP-89 bacterium B3_LCP" 21 8 38 20 24 1 11 21 26 6 7 19 27 7 4 24 20 21
