"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Bacteria*Proteobacteria*Gammaproteobacteria*Methylococcales*Methylococcaceae*Methylococcus*Methylococcus sp.",11,18,1,14,71,8
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfovibrionales*Desulfomicrobiaceae*Desulfomicrobium*Desulfomicrobium apsheronum",14,23,27,7,7,18
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Campylobacteraceae*Sulfurospirillum*Sulfurospirillum arcachonense",6,19,5,8,5,3
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Hylemonella*Hylemonella gracilis",4,11,1,8,6,4
"Bacteria*Proteobacteria*Deltaproteobacteria*Myxococcales*Archangiaceae*Melittangium*Melittangium boletus",7,2,6,12,4,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales*Thiolinaceae*Thiolinea*Thiolinea disciformis",4,6,3,14,4,11
"Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae*Pseudomonas*Pseudomonas parafulva",3,4,3,2,2,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfovibrionales*Desulfovibrionaceae*Desulfovibrio*Desulfovibrio hydrothermalis",8,10,76,38,8,2
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*Sedimenticola*Sedimenticola selenatireducens",7,12,2,6,3,2
"Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Neisseriaceae*Neisseria*Neisseria dentiae",1,5,4,2,1,1
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Nitrosomonadaceae*Nitrosomonas*Nitrosomonas sp. Nm143",9,19,2,15,3,10
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Oceanospirillaceae*Neptuniibacter*Neptuniibacter caesariensis",4,8,6,13,7,2
"Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Neisseriaceae*Neisseria*Neisseria bacilliformis",7,17,7,12,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Methylococcales*Methylococcaceae*Methylomicrobium*Methylomicrobium kenyense",23,4,18,34,10,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Caulobacterales*Caulobacteraceae*Phenylobacterium*Phenylobacterium zucineum",7,25,5,36,32,4
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfovibrionales*Desulfovibrionaceae*Desulfovibrio*Desulfovibrio carbinolicus",5,1,2,13,7,4
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Acetobacter*Acetobacter oeni",9,22,3,4,2,16
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Endozoicomonadaceae*Endozoicomonas*Endozoicomonas elysicola",4,2,15,12,2,8
"Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Chromobacteriaceae*Chitinilyticum*Chitinilyticum aquatile",7,8,1,6,4,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Roseobacter*Roseobacter sp. SK209-2-6",17,13,13,8,5,12
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*Inhella*Inhella inkyongensis",67,16,15,17,1,7
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Ferrimonadaceae*Ferrimonas*Ferrimonas senticii",7,7,7,5,5,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales*Piscirickettsiaceae*Thiomicrospira*Thiomicrospira microaerophila",4,11,7,13,2,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Hyphomicrobiaceae*Devosia*Devosia crocina",38,7,4,14,3,16
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Halomonadaceae*Salinicola*Salinicola salarius",1,3,1,2,6,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*Roseateles*Roseateles terrae",5,19,8,7,2,1
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Methylophilaceae*Methylophilus*Methylophilus rhizosphaerae",13,1,8,10,18,20
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Chelonobacter*Chelonobacter oris",52,5,20,20,4,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Photobacterium*Photobacterium aquimaris",26,16,19,3,11,13
"Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales*Cellvibrionaceae*Umboniibacter*Umboniibacter marinipuniceus",10,2,1,1,4,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Eoetvoesia*Eoetvoesia caeni",3,3,27,48,3,4
"Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Neisseriaceae*Neisseria*Neisseria sp. oral taxon 020",3,5,8,4,4,6
"Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales*Spongiibacteraceae*Oceanicoccus*Oceanicoccus sagamiensis",24,20,8,8,9,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Rhodobiaceae*Tepidamorphus*Tepidamorphus gemmatus",27,5,3,5,9,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Hyphomicrobiaceae*Dichotomicrobium*Dichotomicrobium thermohalophilum",2,7,6,2,1,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Hyphomicrobiaceae*Aquabacter*Aquabacter spiritensis",2,1,5,2,11,61
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*NA*Acetobacteraceae bacterium AT-5844",8,3,1,10,3,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Klebsiella*Klebsiella michiganensis",15,7,12,18,5,41
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Helicobacteraceae*Thiovulum*Thiovulum sp. ES",7,77,1,4,3,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Swingsia*Swingsia samuiensis",6,12,2,8,11,5
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Sterolibacteriaceae*Methyloversatilis*Methyloversatilis thermotolerans",5,14,5,5,21,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Bordetella*Bordetella genomosp. 1",15,8,3,13,7,4
"Bacteria*Proteobacteria*Epsilonproteobacteria*Nautiliales*Nautiliaceae*Cetia*Cetia pacifica",1,4,14,6,3,3
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Helicobacteraceae*Helicobacter*Helicobacter sp. 13S00482-2",7,6,15,7,1,16
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Aurantimonadaceae*Martelella*Martelella endophytica",2,7,4,5,14,1
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*Pseudohongiella*Pseudohongiella acticola",8,9,11,5,1,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Chromatiales*Wenzhouxiangellaceae*Wenzhouxiangella*Wenzhouxiangella marina",13,3,1,9,4,7
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Campylobacteraceae*Sulfurospirillum*Sulfurospirillum sp. UCH001",2,9,8,3,2,4
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Hyphomicrobiaceae*Pelagibacterium*Pelagibacterium sp. SCN 64-44",15,1,1,5,4,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Myxococcales*NA*NA*Myxococcales bacterium SG8_38",5,3,4,4,4,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae*Sphingomonas*Sphingomonas sp. Leaf33",24,8,1,11,14,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae*Novosphingobium*Novosphingobium sp. FSW06-99",19,2,6,12,2,10
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Acidisphaera*Acidisphaera sp. S103",1,4,7,7,2,4
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Achromobacter*Achromobacter sp. AONIH1",2,6,9,1,1,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio profundi",15,19,6,5,19,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Pararhodobacter*Pararhodobacter sp. CCB-MM2",3,2,4,7,4,6
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Alcanivoracaceae*Marinicella*Marinicella sediminis",2,1,10,9,17,3
"Bacteria*Proteobacteria*Oligoflexia*Bdellovibrionales*NA*NA*Bdellovibrionales bacterium RIFOXYD1_FULL_44_7",11,9,27,15,11,1
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium RBG_13_53_10",1,4,21,8,4,36
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_43_9",27,20,9,3,15,1
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_53_8",4,3,4,18,4,1
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium RIFOXYD12_FULL_56_24",12,11,15,19,4,2
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*NA*Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_12",30,1,4,1,3,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfuromonadales*Desulfuromonadaceae*NA*Desulfuromonadaceae bacterium GWC2_58_13",21,7,4,20,2,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae*Sphingomonas*Sphingomonas montana",1,28,2,1,1,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Phyllobacteriaceae*Roseitalea*Roseitalea porphyridii",20,13,10,3,3,11
"Bacteria*Proteobacteria*Alphaproteobacteria*NA*NA*NA*Alphaproteobacteria bacterium 46_93_T64",15,2,6,10,3,3
"Bacteria*Proteobacteria*Acidithiobacillia*Acidithiobacillales*Acidithiobacillaceae*Acidithiobacillus*Acidithiobacillus sulfuriphilus",15,3,3,9,1,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Chromatiales*NA*NA*Chromatiales bacterium (ex Bugula neritina AB1)",10,23,9,16,12,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Oxalobacteraceae*Duganella*Duganella sp. CF517",5,2,17,32,51,238
"Bacteria*Proteobacteria*Alphaproteobacteria*NA*NA*NA*Alphaproteobacteria bacterium 41-28",16,9,17,9,8,6
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*NA*NA*Xanthomonadales bacterium 63-13",57,3,1,26,4,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales*Halieaceae*Kineobactrum*Kineobactrum sediminis",13,16,3,2,16,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Rhizobiaceae*NA*Rhizobiaceae bacterium",42,10,5,31,14,2
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Thiobacillaceae*Sulfuritortus*Sulfuritortus calidifontis",8,6,8,1,3,7
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Alteromonadaceae*NA*Alteromonadaceae bacterium",5,7,12,8,1,3
"Bacteria*Proteobacteria*Zetaproteobacteria*Mariprofundales*Mariprofundaceae*Mariprofundus*Mariprofundus aestuarium",18,31,10,9,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Rhodanobacteraceae*Dyella*Dyella sp. 4G-K06",25,51,3,6,9,19
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Castellaniella*Castellaniella sp.",5,9,4,4,6,6
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Campylobacteraceae*NA*Campylobacteraceae bacterium 4484_4",6,8,16,4,1,5
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfobacterales*Desulfobacteraceae*NA*Desulfobacteraceae bacterium 4572_88",13,16,20,9,22,24
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Sterolibacteriaceae*Denitratisoma*Denitratisoma sp. DHT3",32,4,5,17,16,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Pelagibacterales*Pelagibacteraceae*NA*Pelagibacteraceae bacterium TMED258",8,15,2,3,4,9
"Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*NA*NA*Rickettsiales bacterium TMED289",6,7,3,3,5,4
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Helicobacteraceae*Helicobacter*Helicobacter sp. 10-6591",20,61,41,26,2,20
"Bacteria*Proteobacteria*Betaproteobacteria*NA*NA*NA*Betaproteobacteria bacterium HGW-Betaproteobacteria-9",1,30,1,6,6,6
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium HGW-Deltaproteobacteria-8",10,23,30,17,5,10
"Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales*Cellvibrionaceae*Agaribacterium*Agaribacterium haliotis",2,11,1,4,16,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Elstera*Elstera cyanobacteriorum",6,3,3,6,6,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Citrobacter*Citrobacter sp. NCU1",8,6,2,13,3,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Pusillimonas*Pusillimonas sp. JR1/69-3-13",7,2,3,15,3,2
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Methylophilaceae*Methylotenera*Methylotenera sp.",8,8,8,14,8,4
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Pannonibacter*Pannonibacter carbonis",5,3,4,4,3,5
"Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Chromobacteriaceae*Chromobacterium*Chromobacterium sp. MWU14-2602",11,2,1,3,2,17
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*Candidatus Kentron*Candidatus Kentron sp. SD",2,1,5,11,1,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Alteromonadaceae*Alginatibacterium*Alginatibacterium sediminis",5,4,4,15,1,8
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Hahellaceae*Sansalvadorimonas*Sansalvadorimonas verongulae",2,6,13,9,5,9
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*Ignatzschineria*Ignatzschineria cameli",11,1,6,8,8,4
"Bacteria*Proteobacteria*Oligoflexia*Bacteriovoracales*Halobacteriovoraceae*Halobacteriovorax*Halobacteriovorax sp. HLS",9,4,4,5,2,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Alteromonadaceae*Catenovulum*Catenovulum sp. RQJ05",2,11,4,24,4,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*Tepidimonas*Tepidimonas charontis",7,20,4,4,3,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Roseomonas*Roseomonas vastitatis",2,5,2,2,1,1
"Bacteria*Proteobacteria*Betaproteobacteria*Rhodocyclales*NA*NA*Rhodocyclales bacterium GT-UBC",21,15,6,8,19,6
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Aurantimonadaceae*Aureimonas*Aureimonas sp. YIM DR1026",7,10,11,7,8,11
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Roseococcus*Roseococcus sp. SYP-B2431",15,5,2,2,5,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Parvularculales*Parvularculaceae*NA*Parvularculaceae bacterium",6,5,3,11,6,6
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Thiobacillaceae*NA*Thiobacillaceae bacterium LSR1",10,13,2,6,5,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Roseibium*Roseibium sp. RKSG952",2,1,2,4,5,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Carideicomes*Carideicomes alvinocaridis",18,15,8,53,7,6
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Ferrimonadaceae*Ferrimonas*Ferrimonas sp. IMCC35001",1,7,13,1,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Alcanivoracaceae*Marinicella*Marinicella sp. 3539",7,4,8,21,15,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Hypericibacter*Hypericibacter terrae",13,3,7,12,5,7
"Bacteria*Proteobacteria*Zetaproteobacteria*Mariprofundales*Mariprofundaceae*Mariprofundus*Mariprofundus sp. EBB-1",4,6,9,6,3,1
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*Candidatus Competibacteraceae*Candidatus Contendobacter*Candidatus Contendobacter sp.",25,14,15,17,6,11
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio sp. CAIM 722",14,11,1,16,4,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Ferrimonadaceae*Paraferrimonas*Paraferrimonas sp. SM1919",3,50,4,9,3,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Saccharibacter*Saccharibacter sp. 17.LH.SD",11,2,4,4,15,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae*Sphingomonas*Sphingomonas sp. C33",8,18,72,3,7,5
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*NA*NA*Nitrosomonadales bacterium skT11",6,1,5,7,2,9
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Pelomonas*Pelomonas saccharophila",1,5,7,7,5,4
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Rhizobiaceae*Sinorhizobium*Sinorhizobium fredii",6,1,2,11,3,14
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Rhizobiaceae*Neorhizobium*Neorhizobium galegae",6,7,55,7,2,4
"Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Neisseriaceae*Neisseria*Neisseria elongata",7,1,41,22,6,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio harveyi",9,26,8,7,2,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Actinobacillus*Actinobacillus ureae",19,18,12,3,3,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus*Haemophilus haemoglobinophilus",13,59,10,47,19,7
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Pasteurella*Pasteurella testudinis",22,20,4,24,23,12
"Bacteria*Proteobacteria*Gammaproteobacteria*Legionellales*Coxiellaceae*Coxiella*Coxiella burnetii",13,3,1,18,2,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Bradyrhizobiaceae*Bradyrhizobium*Bradyrhizobium elkanii",21,6,2,1,3,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Syntrophobacterales*Syntrophobacteraceae*Desulfacinum*Desulfacinum infernum",7,13,4,24,7,5
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae*Ewingella*Ewingella americana",12,2,12,30,7,3
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Nitrosomonadaceae*Nitrosomonas*Nitrosomonas sp.",20,9,6,12,4,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Pseudoalteromonadaceae*Pseudoalteromonas*Pseudoalteromonas denitrificans",2,1,5,6,1,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales*Thiotrichaceae*Leucothrix*Leucothrix mucor",6,10,2,6,12,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*Acinetobacter pittii",7,7,1,1,3,38
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio mytili",1,5,1,3,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Chromatiales*Chromatiaceae*Lamprocystis*Lamprocystis purpurea",5,4,4,15,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Oceanospirillaceae*Marinobacterium*Marinobacterium jannaschii",7,2,2,12,2,2
"Bacteria*Proteobacteria*Betaproteobacteria*Rhodocyclales*Azonexaceae*Dechloromonas*Dechloromonas agitata",2,3,5,5,13,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Caulobacterales*Caulobacteraceae*Asticcacaulis*Asticcacaulis biprosthecium",1,2,2,5,4,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Myxococcales*Myxococcaceae*Myxococcus*Myxococcus stipitatus",12,7,13,3,7,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*Candidatus Midichloriaceae*Candidatus Jidaibacter*Candidatus Jidaibacter acanthamoeba",7,1,5,2,3,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Ramlibacter*Ramlibacter tataouinensis",2,7,3,9,3,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Methylococcales*Methylococcaceae*Methylosarcina*Methylosarcina fibrata",19,6,14,88,5,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae*Serratia*Serratia symbiotica",8,8,5,11,7,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Basfia*[Mannheimia] succiniciproducens",20,5,8,7,7,25
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Pectobacteriaceae*Pectobacterium*Pectobacterium brasiliense",12,1,10,5,2,4
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*NA*Candidatus Baumannia cicadellinicola",4,2,3,1,16,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfobacterales*Desulfobacteraceae*Desulfotignum*Desulfotignum phosphitoxidans",1,4,2,16,1,6
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Helicobacteraceae*Helicobacter*Helicobacter sp. MIT 01-6242",11,4,3,14,1,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales*Piscirickettsiaceae*Methylophaga*Methylophaga aminisulfidivorans",4,2,2,6,4,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Beijerinckia*Beijerinckia mobilis",28,9,1,5,6,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Erwiniaceae*Erwinia*Candidatus Erwinia dacicola",5,1,4,5,1,8
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Hahellaceae*Hahella*Hahella ganghwensis",2,106,2,3,2,2
"Bacteria*Proteobacteria*Epsilonproteobacteria*Nautiliales*Nautiliaceae*Caminibacter*Caminibacter mediatlanticus",11,2,4,9,7,13
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Ferrimonadaceae*Ferrimonas*Ferrimonas marina",16,15,1,15,2,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*Thiomonas*Thiomonas bhubaneswarensis",6,15,4,9,5,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Azohydromonas*Azohydromonas australica",9,1,2,3,1,4
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*Aquincola*Aquincola tertiaricarbonis",10,5,2,33,4,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Skermanella*Skermanella aerolata",14,1,2,11,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*Acinetobacter brisouii",3,4,3,9,3,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Hyphomicrobiaceae*Rhodoplanes*Rhodoplanes piscinae",10,3,4,5,5,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*NA*Burkholderiales bacterium 1_1_47",9,9,4,3,3,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Erwiniaceae*Pantoea*Pantoea vagans",1,4,6,2,4,4
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Phyllobacteriaceae*Nitratireductor*Nitratireductor basaltis",16,25,2,78,10,7
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*Ideonella*Ideonella azotifigens",6,5,2,5,2,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Hyphomonadaceae*Litorimonas*Litorimonas taeanensis",12,4,4,9,1,7
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae*Sphingobium*Sphingobium sp. SYK-6",19,3,3,9,4,8
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae*Arsenophonus*Candidatus Arsenophonus lipoptenae",4,5,5,1,4,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Cohaesibacteraceae*Cohaesibacter*Cohaesibacter marisflavi",12,1,1,8,6,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Cohaesibacteraceae*Breoghania*Breoghania corrubedonensis",9,10,4,7,5,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*NA*Bauldia*Bauldia litoralis",10,5,2,1,11,13
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Alteromonadaceae*Agarivorans*Agarivorans gilvus",9,2,1,4,1,4
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfovibrionales*Desulfohalobiaceae*Desulfonatronovibrio*Desulfonatronovibrio magnus",7,36,37,21,21,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Methylococcales*Methylococcaceae*Methylomonas*Methylomonas koyamae",4,8,12,12,4,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*NA*NA*uncultured Sphingomonadales bacterium HF0500_24B12",14,10,3,17,7,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methyloferula*Methyloferula stellata",6,3,10,5,3,1
"Bacteria*Proteobacteria*Alphaproteobacteria*NA*NA*NA*SAR116 cluster alpha proteobacterium HIMB100",8,3,2,8,5,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Gibbsiella*Gibbsiella quercinecans",2,136,1,112,1,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio variabilis",7,1,13,4,4,13
"Bacteria*Proteobacteria*Alphaproteobacteria*Pelagibacterales*Pelagibacteraceae*Candidatus Pelagibacter*Candidatus Pelagibacter sp. IMCC9063",14,12,4,6,2,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*Tepidimonas*Tepidimonas fonticaldi",5,4,3,4,2,1
